order_item_id,order_id,product_id,quantity,unit_price,line_total
1,1,39,2.0,172000.0,344000.0
2,2,26,4.0,79000.0,316000.0
3,2,46,3.0,87000.0,261000.0
4,2,80,1.0,187000.0,187000.0
5,2,91,5.0,125000.0,625000.0
6,3,61,3.0,28000.0,84000.0
7,3,62,3.0,82000.0,246000.0
8,3,52,1.0,88000.0,88000.0
9,4,11,2.0,58000.0,116000.0
10,5,65,5.0,193000.0,965000.0
11,6,97,5.0,187000.0,935000.0
12,6,41,3.0,119000.0,357000.0
13,6,43,5.0,158000.0,790000.0
14,7,46,3.0,87000.0,261000.0
15,7,4,4.0,33000.0,132000.0
16,8,89,5.0,178000.0,890000.0
18,8,65,4.0,193000.0,772000.0
19,8,79,1.0,153000.0,153000.0
20,9,70,3.0,168000.0,504000.0
21,9,36,5.0,193000.0,965000.0
22,9,73,1.0,156000.0,156000.0
23,9,42,5.0,71000.0,355000.0
24,10,76,3.0,56000.0,168000.0
25,11,65,5.0,193000.0,965000.0
26,12,49,5.0,171000.0,855000.0
27,12,75,2.0,183000.0,366000.0
28,12,72,1.0,195000.0,195000.0
29,13,22,2.0,181000.0,362000.0
30,13,68,3.0,149000.0,447000.0
31,14,65,3.0,193000.0,579000.0
32,14,48,1.0,25000.0,25000.0
33,15,63,5.0,141000.0,705000.0
34,16,5,4.0,73000.0,292000.0
35,16,70,3.0,168000.0,504000.0
36,16,96,3.0,96000.0,288000.0
37,16,28,5.0,147000.0,735000.0
38,17,40,3.0,182000.0,546000.0
39,17,86,1.0,145000.0,145000.0
40,18,23,2.0,197000.0,394000.0
41,19,21,2.0,11000.0,22000.0
42,20,77,5.0,111000.0,555000.0
43,20,25,3.0,52000.0,156000.0
44,20,55,2.0,52000.0,104000.0
45,21,33,2.0,44000.0,88000.0
46,22,38,2.0,25000.0,50000.0
47,23,70,4.0,168000.0,672000.0
48,23,84,1.0,42000.0,42000.0
49,24,3,1.0,48000.0,48000.0
50,24,10,1.0,169000.0,169000.0
51,25,59,3.0,5000.0,15000.0
52,25,45,2.0,97000.0,194000.0
53,25,70,2.0,168000.0,336000.0
54,25,4,3.0,33000.0,99000.0
55,26,74,2.0,129000.0,258000.0
56,26,65,2.0,193000.0,386000.0
57,26,66,2.0,41000.0,82000.0
58,27,38,4.0,25000.0,100000.0
59,27,72,1.0,195000.0,195000.0
60,28,53,1.0,105000.0,105000.0
61,29,29,3.0,31000.0,93000.0
62,29,96,2.0,96000.0,192000.0
63,29,20,4.0,79000.0,316000.0
64,30,17,2.0,76000.0,152000.0
65,30,81,1.0,79000.0,79000.0
66,31,35,2.0,53000.0,106000.0
67,32,97,4.0,187000.0,748000.0
68,32,64,5.0,149000.0,745000.0
69,33,82,2.0,170000.0,340000.0
70,33,4,2.0,33000.0,66000.0
71,33,72,1.0,195000.0,195000.0
72,34,28,4.0,147000.0,588000.0
73,35,53,1.0,105000.0,105000.0
74,35,70,4.0,168000.0,672000.0
75,36,14,5.0,17000.0,85000.0
76,36,69,1.0,11000.0,11000.0
77,36,18,1.0,140000.0,140000.0
78,36,50,5.0,103000.0,515000.0
79,37,26,1.0,79000.0,79000.0
80,37,1,3.0,61000.0,183000.0
81,37,61,5.0,28000.0,140000.0
82,38,1,4.0,61000.0,244000.0
83,39,67,1.0,145000.0,145000.0
84,39,68,3.0,149000.0,447000.0
85,40,53,2.0,105000.0,210000.0
86,40,25,1.0,52000.0,52000.0
87,40,10,4.0,169000.0,676000.0
88,40,4,5.0,33000.0,165000.0
89,41,92,4.0,74000.0,296000.0
90,41,48,5.0,25000.0,125000.0
92,42,96,1.0,96000.0,96000.0
93,43,40,1.0,182000.0,182000.0
94,43,66,3.0,41000.0,123000.0
95,43,54,4.0,152000.0,608000.0
96,43,99,1.0,187000.0,187000.0
97,44,7,3.0,161000.0,483000.0
98,44,91,5.0,125000.0,625000.0
99,44,48,4.0,25000.0,100000.0
100,45,76,3.0,56000.0,168000.0
101,46,52,3.0,88000.0,264000.0
102,46,32,5.0,140000.0,700000.0
103,46,19,4.0,127000.0,508000.0
104,47,14,2.0,17000.0,34000.0
105,47,39,5.0,172000.0,860000.0
106,47,48,3.0,25000.0,75000.0
107,48,83,4.0,74000.0,296000.0
108,48,8,1.0,18000.0,18000.0
109,49,36,1.0,193000.0,193000.0
110,49,31,1.0,155000.0,155000.0
111,50,86,5.0,145000.0,725000.0
112,50,20,5.0,79000.0,395000.0
113,50,56,3.0,124000.0,372000.0
114,50,30,4.0,149000.0,596000.0
115,51,94,4.0,85000.0,340000.0
116,51,85,4.0,38000.0,152000.0
117,51,65,5.0,193000.0,965000.0
118,52,44,3.0,29000.0,87000.0
119,53,24,5.0,42000.0,210000.0
120,54,45,2.0,97000.0,194000.0
121,54,8,2.0,18000.0,36000.0
122,54,19,5.0,127000.0,635000.0
123,55,61,4.0,28000.0,112000.0
124,55,65,3.0,193000.0,579000.0
125,55,32,1.0,140000.0,140000.0
126,56,53,2.0,105000.0,210000.0
127,56,30,1.0,149000.0,149000.0
128,56,72,4.0,195000.0,780000.0
129,56,20,5.0,79000.0,395000.0
130,57,48,3.0,25000.0,75000.0
131,57,39,3.0,172000.0,516000.0
132,57,60,5.0,26000.0,130000.0
133,58,78,1.0,54000.0,54000.0
134,58,69,1.0,11000.0,11000.0
135,58,82,3.0,170000.0,510000.0
136,58,52,2.0,88000.0,176000.0
137,59,41,2.0,119000.0,238000.0
138,60,97,4.0,187000.0,748000.0
139,60,53,4.0,105000.0,420000.0
140,61,34,2.0,110000.0,220000.0
141,61,12,4.0,91000.0,364000.0
142,61,84,1.0,42000.0,42000.0
143,62,22,1.0,181000.0,181000.0
144,62,78,2.0,54000.0,108000.0
145,62,78,3.0,54000.0,162000.0
146,62,42,1.0,71000.0,71000.0
147,63,87,5.0,93000.0,465000.0
148,63,2,4.0,154000.0,616000.0
149,64,26,1.0,79000.0,79000.0
150,9991,89,5.0,178000.0,890000.0
151,65,17,3.0,76000.0,228000.0
152,65,92,1.0,74000.0,74000.0
153,65,58,5.0,55000.0,275000.0
154,66,79,4.0,153000.0,612000.0
155,66,44,2.0,29000.0,58000.0
156,67,4,4.0,33000.0,132000.0
157,67,83,2.0,74000.0,148000.0
158,67,61,3.0,28000.0,84000.0
159,67,12,2.0,91000.0,182000.0
160,68,75,2.0,183000.0,366000.0
161,69,1,2.0,61000.0,122000.0
162,69,17,2.0,76000.0,152000.0
163,70,88,4.0,176000.0,704000.0
164,71,53,2.0,105000.0,210000.0
165,71,21,4.0,11000.0,44000.0
166,71,82,4.0,170000.0,680000.0
167,72,92,3.0,74000.0,222000.0
168,72,74,5.0,129000.0,645000.0
169,73,27,3.0,21000.0,63000.0
170,73,52,4.0,88000.0,352000.0
171,73,91,1.0,125000.0,125000.0
172,73,55,4.0,52000.0,208000.0
173,74,27,3.0,21000.0,63000.0
174,74,49,3.0,171000.0,513000.0
175,74,2,3.0,154000.0,462000.0
176,75,44,4.0,29000.0,116000.0
177,75,44,3.0,29000.0,87000.0
178,75,85,3.0,38000.0,114000.0
179,75,13,2.0,18000.0,36000.0
180,76,49,4.0,171000.0,684000.0
181,76,75,5.0,183000.0,915000.0
182,76,9,3.0,75000.0,225000.0
183,76,41,4.0,119000.0,476000.0
184,77,75,2.0,183000.0,366000.0
185,77,35,1.0,53000.0,53000.0
186,77,58,1.0,55000.0,55000.0
187,78,27,1.0,21000.0,21000.0
188,79,14,5.0,17000.0,85000.0
189,79,67,4.0,145000.0,580000.0
190,79,14,5.0,17000.0,85000.0
191,79,7,3.0,161000.0,483000.0
192,80,60,4.0,26000.0,104000.0
193,80,74,1.0,129000.0,129000.0
194,80,22,1.0,181000.0,181000.0
195,80,41,5.0,119000.0,595000.0
196,81,44,1.0,29000.0,29000.0
197,81,64,1.0,149000.0,149000.0
198,81,21,4.0,11000.0,44000.0
199,81,15,3.0,75000.0,225000.0
200,82,76,2.0,56000.0,112000.0
201,82,29,4.0,31000.0,124000.0
202,82,41,3.0,119000.0,357000.0
203,82,94,3.0,85000.0,255000.0
204,83,84,1.0,42000.0,42000.0
206,84,92,5.0,74000.0,370000.0
207,84,80,4.0,187000.0,748000.0
208,85,58,2.0,55000.0,110000.0
209,85,32,4.0,140000.0,560000.0
210,85,97,3.0,187000.0,561000.0
211,85,87,2.0,93000.0,186000.0
212,86,19,3.0,127000.0,381000.0
213,86,83,2.0,74000.0,148000.0
214,86,95,1.0,82000.0,82000.0
215,87,40,4.0,182000.0,728000.0
216,87,78,4.0,54000.0,216000.0
217,87,2,3.0,154000.0,462000.0
218,88,59,2.0,5000.0,10000.0
219,89,93,2.0,121000.0,242000.0
220,89,98,4.0,32000.0,128000.0
221,89,5,4.0,73000.0,292000.0
222,90,30,4.0,149000.0,596000.0
223,90,72,4.0,195000.0,780000.0
224,90,78,1.0,54000.0,54000.0
225,91,63,3.0,141000.0,423000.0
226,91,30,1.0,149000.0,149000.0
227,91,97,1.0,187000.0,187000.0
228,91,42,5.0,71000.0,355000.0
229,92,13,4.0,18000.0,72000.0
230,92,87,4.0,93000.0,372000.0
231,93,74,5.0,129000.0,645000.0
232,93,65,4.0,193000.0,772000.0
233,94,12,2.0,91000.0,182000.0
234,94,82,5.0,170000.0,850000.0
235,94,58,3.0,55000.0,165000.0
236,95,89,4.0,178000.0,712000.0
237,96,85,3.0,38000.0,114000.0
238,96,35,1.0,53000.0,53000.0
239,97,78,2.0,54000.0,108000.0
240,97,77,1.0,111000.0,111000.0
241,97,64,5.0,149000.0,745000.0
242,97,95,3.0,82000.0,246000.0
243,98,75,5.0,183000.0,915000.0
244,99,65,3.0,193000.0,579000.0
245,100,100,5.0,34000.0,170000.0
246,100,74,4.0,129000.0,516000.0
247,100,50,1.0,103000.0,103000.0
248,100,13,3.0,18000.0,54000.0
249,101,15,3.0,75000.0,225000.0
250,101,41,2.0,119000.0,238000.0
251,101,54,4.0,152000.0,608000.0
252,102,25,3.0,52000.0,156000.0
253,103,20,4.0,79000.0,316000.0
254,103,80,3.0,187000.0,561000.0
255,103,60,5.0,26000.0,130000.0
256,104,58,2.0,55000.0,110000.0
257,104,63,5.0,141000.0,705000.0
258,105,66,5.0,41000.0,205000.0
259,105,83,2.0,74000.0,148000.0
260,105,9991,1.0,76000.0,76000.0
261,105,4,3.0,33000.0,99000.0
262,106,58,3.0,55000.0,165000.0
263,107,72,1.0,195000.0,195000.0
264,107,9,5.0,75000.0,375000.0
265,107,83,3.0,74000.0,222000.0
266,107,86,2.0,145000.0,290000.0
267,108,47,2.0,188000.0,376000.0
268,108,67,5.0,145000.0,725000.0
269,108,43,5.0,158000.0,790000.0
270,109,97,2.0,187000.0,374000.0
271,109,61,2.0,28000.0,56000.0
272,109,94,4.0,85000.0,340000.0
273,110,57,2.0,96000.0,192000.0
274,110,64,3.0,149000.0,447000.0
275,110,51,1.0,183000.0,183000.0
276,110,50,4.0,103000.0,412000.0
278,111,13,1.0,18000.0,18000.0
279,111,75,1.0,183000.0,183000.0
280,112,57,4.0,96000.0,384000.0
281,112,6,3.0,134000.0,402000.0
282,112,5,3.0,73000.0,219000.0
283,113,97,2.0,187000.0,374000.0
284,113,31,4.0,155000.0,620000.0
285,114,30,1.0,149000.0,149000.0
286,114,39,1.0,172000.0,172000.0
287,115,62,4.0,82000.0,328000.0
288,116,54,4.0,152000.0,608000.0
289,117,45,5.0,97000.0,485000.0
290,117,28,3.0,147000.0,441000.0
291,117,47,5.0,188000.0,940000.0
292,118,16,2.0,21000.0,42000.0
293,118,42,1.0,71000.0,71000.0
294,119,36,5.0,193000.0,965000.0
295,119,59,5.0,5000.0,25000.0
296,119,72,4.0,195000.0,780000.0
297,119,9,2.0,75000.0,150000.0
298,120,86,5.0,145000.0,725000.0
299,120,78,4.0,54000.0,216000.0
300,121,92,4.0,74000.0,296000.0
301,121,93,1.0,121000.0,121000.0
302,121,82,4.0,170000.0,680000.0
303,122,98,4.0,32000.0,128000.0
304,123,46,5.0,87000.0,435000.0
305,123,84,1.0,42000.0,42000.0
306,123,81,4.0,79000.0,316000.0
307,124,12,4.0,91000.0,364000.0
308,125,9,1.0,75000.0,75000.0
309,125,28,2.0,147000.0,294000.0
310,125,67,4.0,145000.0,580000.0
311,125,75,4.0,183000.0,732000.0
312,126,47,2.0,188000.0,376000.0
313,127,11,5.0,58000.0,290000.0
314,127,56,4.0,124000.0,496000.0
315,128,19,3.0,127000.0,381000.0
316,128,92,4.0,74000.0,296000.0
317,128,75,3.0,183000.0,549000.0
318,129,65,4.0,193000.0,772000.0
320,129,23,5.0,197000.0,985000.0
321,129,14,2.0,17000.0,34000.0
322,130,98,1.0,32000.0,32000.0
323,130,48,2.0,25000.0,50000.0
324,131,15,5.0,75000.0,375000.0
325,131,74,3.0,129000.0,387000.0
326,131,38,4.0,25000.0,100000.0
327,131,54,2.0,152000.0,304000.0
328,132,20,3.0,79000.0,237000.0
329,132,74,3.0,129000.0,387000.0
330,133,49,4.0,171000.0,684000.0
331,133,6,2.0,134000.0,268000.0
332,133,78,2.0,54000.0,108000.0
333,133,26,3.0,79000.0,237000.0
334,134,96,1.0,96000.0,96000.0
335,134,75,4.0,183000.0,732000.0
336,134,87,3.0,93000.0,279000.0
337,134,32,1.0,140000.0,140000.0
338,135,88,4.0,176000.0,704000.0
339,136,86,3.0,145000.0,435000.0
340,136,20,5.0,79000.0,395000.0
341,137,42,4.0,71000.0,284000.0
342,137,72,3.0,195000.0,585000.0
343,138,88,2.0,176000.0,352000.0
344,138,45,5.0,97000.0,485000.0
345,138,79,4.0,153000.0,612000.0
346,138,75,1.0,183000.0,183000.0
347,139,99,1.0,187000.0,187000.0
348,139,22,4.0,181000.0,724000.0
349,139,2,3.0,154000.0,462000.0
350,139,16,3.0,21000.0,63000.0
351,140,87,3.0,93000.0,279000.0
352,140,49,2.0,171000.0,342000.0
353,140,49,2.0,171000.0,342000.0
354,141,50,5.0,103000.0,515000.0
355,141,25,1.0,52000.0,52000.0
356,142,100,3.0,34000.0,102000.0
357,142,2,1.0,154000.0,154000.0
358,142,63,3.0,141000.0,423000.0
359,142,49,5.0,171000.0,855000.0
360,143,16,3.0,21000.0,63000.0
361,143,22,2.0,181000.0,362000.0
362,143,25,5.0,52000.0,260000.0
363,144,19,3.0,127000.0,381000.0
364,145,40,5.0,182000.0,910000.0
365,145,46,2.0,87000.0,174000.0
366,146,7,3.0,161000.0,483000.0
367,146,81,3.0,79000.0,237000.0
368,146,34,2.0,110000.0,220000.0
369,147,77,4.0,111000.0,444000.0
370,147,60,1.0,26000.0,26000.0
371,148,37,4.0,92000.0,368000.0
372,148,46,4.0,87000.0,348000.0
373,149,85,1.0,38000.0,38000.0
374,150,45,5.0,97000.0,485000.0
375,150,69,3.0,11000.0,33000.0
376,151,71,3.0,188000.0,564000.0
377,151,99,5.0,187000.0,935000.0
378,152,59,3.0,5000.0,15000.0
379,152,58,5.0,55000.0,275000.0
380,152,76,5.0,56000.0,280000.0
381,153,22,4.0,181000.0,724000.0
382,153,87,3.0,93000.0,279000.0
383,154,96,2.0,96000.0,192000.0
384,154,54,3.0,152000.0,456000.0
385,154,29,5.0,31000.0,155000.0
386,154,74,1.0,129000.0,129000.0
387,155,9,2.0,75000.0,150000.0
388,155,75,5.0,183000.0,915000.0
389,155,67,3.0,145000.0,435000.0
390,155,5,3.0,73000.0,219000.0
391,156,93,2.0,121000.0,242000.0
392,156,60,2.0,26000.0,52000.0
393,156,53,2.0,105000.0,210000.0
394,156,43,2.0,158000.0,316000.0
395,157,59,3.0,5000.0,15000.0
396,157,51,2.0,183000.0,366000.0
397,157,71,2.0,188000.0,376000.0
398,158,44,2.0,29000.0,58000.0
399,159,10,4.0,169000.0,676000.0
400,160,3,2.0,48000.0,96000.0
401,160,85,5.0,38000.0,190000.0
402,160,77,2.0,111000.0,222000.0
403,161,75,1.0,183000.0,183000.0
404,161,90,5.0,85000.0,425000.0
405,162,1,2.0,61000.0,122000.0
406,162,96,3.0,96000.0,288000.0
407,162,54,2.0,152000.0,304000.0
408,162,31,5.0,155000.0,775000.0
409,163,13,1.0,18000.0,18000.0
410,164,13,5.0,18000.0,90000.0
411,164,51,3.0,183000.0,549000.0
412,164,73,3.0,156000.0,468000.0
413,164,46,3.0,87000.0,261000.0
414,165,93,1.0,121000.0,121000.0
415,165,90,1.0,85000.0,85000.0
416,165,46,4.0,87000.0,348000.0
417,165,62,2.0,82000.0,164000.0
418,166,5,3.0,73000.0,219000.0
419,166,77,3.0,111000.0,333000.0
420,166,24,2.0,42000.0,84000.0
421,167,97,1.0,187000.0,187000.0
422,168,6,1.0,134000.0,134000.0
423,168,30,1.0,149000.0,149000.0
424,168,87,5.0,93000.0,465000.0
425,169,75,1.0,183000.0,183000.0
426,169,67,1.0,145000.0,145000.0
427,169,5,2.0,73000.0,146000.0
428,170,13,5.0,18000.0,90000.0
429,170,17,4.0,76000.0,304000.0
430,170,29,3.0,31000.0,93000.0
431,171,19,1.0,127000.0,127000.0
432,171,37,1.0,92000.0,92000.0
434,171,70,4.0,168000.0,672000.0
435,172,98,2.0,32000.0,64000.0
436,172,88,3.0,176000.0,528000.0
437,172,53,2.0,105000.0,210000.0
438,172,38,5.0,25000.0,125000.0
439,173,43,2.0,158000.0,316000.0
440,173,71,1.0,188000.0,188000.0
441,173,43,2.0,158000.0,316000.0
442,173,10,4.0,169000.0,676000.0
443,174,64,3.0,149000.0,447000.0
444,174,29,3.0,31000.0,93000.0
445,174,85,4.0,38000.0,152000.0
446,174,21,4.0,11000.0,44000.0
448,176,14,4.0,17000.0,68000.0
449,176,74,4.0,129000.0,516000.0
450,177,57,4.0,96000.0,384000.0
451,178,75,1.0,183000.0,183000.0
452,178,83,2.0,74000.0,148000.0
453,179,58,2.0,55000.0,110000.0
454,179,18,3.0,140000.0,420000.0
455,179,55,2.0,52000.0,104000.0
456,179,2,3.0,154000.0,462000.0
457,180,1,3.0,61000.0,183000.0
458,181,82,1.0,170000.0,170000.0
459,181,54,4.0,152000.0,608000.0
460,182,94,1.0,85000.0,85000.0
461,182,82,1.0,170000.0,170000.0
462,182,21,4.0,11000.0,44000.0
463,183,43,1.0,158000.0,158000.0
464,183,1,3.0,61000.0,183000.0
465,183,5,3.0,73000.0,219000.0
466,184,37,4.0,92000.0,368000.0
467,184,49,4.0,171000.0,684000.0
468,185,7,3.0,161000.0,483000.0
469,186,100,1.0,34000.0,34000.0
470,186,96,3.0,96000.0,288000.0
471,187,34,5.0,110000.0,550000.0
472,187,71,1.0,188000.0,188000.0
473,187,99,3.0,187000.0,561000.0
474,188,29,5.0,31000.0,155000.0
475,188,93,2.0,121000.0,242000.0
476,188,14,3.0,17000.0,51000.0
477,189,74,2.0,129000.0,258000.0
478,190,90,2.0,85000.0,170000.0
479,191,50,3.0,103000.0,309000.0
480,191,11,2.0,58000.0,116000.0
481,191,9,2.0,75000.0,150000.0
482,192,95,5.0,82000.0,410000.0
483,192,90,1.0,85000.0,85000.0
484,192,24,3.0,42000.0,126000.0
485,192,56,2.0,124000.0,248000.0
486,193,98,2.0,32000.0,64000.0
487,193,76,2.0,56000.0,112000.0
488,194,98,2.0,32000.0,64000.0
489,194,19,5.0,127000.0,635000.0
490,194,37,4.0,92000.0,368000.0
491,194,100,2.0,34000.0,68000.0
492,195,99,5.0,187000.0,935000.0
493,195,1,3.0,61000.0,183000.0
494,196,59,4.0,5000.0,20000.0
