order_id,customer_id,order_date,payment_method,order_status,order_month,order_dayofweek
1,144,2026-07-12,naver_pay,completed,2026-07,Sunday
2,149,2025-10-02,kakao_pay,completed,2025-10,Thursday
3,34,2026-03-13,naver_pay,completed,2026-03,Friday
4,92,2025-10-12,kakao_pay,completed,2025-10,Sunday
5,6,2026-04-17,bank_transfer,cancelled,2026-04,Friday
6,20,2025-07-06,bank_transfer,completed,2025-07,Sunday
7,28,2025-08-08,kakao_pay,completed,2025-08,Friday
8,99,2026-02-04,naver_pay,cancelled,2026-02,Wednesday
9,93,2026-05-12,naver_pay,completed,2026-05,Tuesday
10,56,2026-01-22,naver_pay,completed,2026-01,Thursday
11,28,2025-10-26,bank_transfer,completed,2025-10,Sunday
12,81,2026-08-05,card,completed,2026-08,Wednesday
13,135,2026-08-08,bank_transfer,completed,2026-08,Saturday
14,135,2026-04-07,card,refunded,2026-04,Tuesday
15,126,2025-07-02,kakao_pay,cancelled,2025-07,Wednesday
16,43,2025-09-08,card,completed,2025-09,Monday
17,91,2025-11-17,naver_pay,cancelled,2025-11,Monday
18,100,2026-05-27,kakao_pay,completed,2026-05,Wednesday
19,3,2026-02-02,naver_pay,completed,2026-02,Monday
20,34,2025-12-30,naver_pay,cancelled,2025-12,Tuesday
21,129,2026-02-13,bank_transfer,completed,2026-02,Friday
22,127,2025-08-05,bank_transfer,cancelled,2025-08,Tuesday
23,93,2025-08-06,bank_transfer,completed,2025-08,Wednesday
24,20,2025-11-30,bank_transfer,completed,2025-11,Sunday
25,28,2025-08-21,card,completed,2025-08,Thursday
26,121,2026-06-09,bank_transfer,refunded,2026-06,Tuesday
27,96,2025-08-19,kakao_pay,completed,2025-08,Tuesday
28,69,2025-11-18,card,completed,2025-11,Tuesday
29,121,2026-03-04,card,completed,2026-03,Wednesday
30,37,2025-10-29,kakao_pay,completed,2025-10,Wednesday
31,73,2026-07-05,kakao_pay,refunded,2026-07,Sunday
32,27,2026-05-24,kakao_pay,completed,2026-05,Sunday
33,43,2026-04-09,card,refunded,2026-04,Thursday
34,122,2025-12-31,card,refunded,2025-12,Wednesday
35,57,2026-05-11,bank_transfer,completed,2026-05,Monday
36,12,2026-03-20,kakao_pay,completed,2026-03,Friday
37,56,2025-07-10,kakao_pay,completed,2025-07,Thursday
38,2,2026-03-21,bank_transfer,completed,2026-03,Saturday
39,99,2025-11-29,naver_pay,completed,2025-11,Saturday
40,24,2026-03-25,card,completed,2026-03,Wednesday
41,107,2026-01-08,kakao_pay,cancelled,2026-01,Thursday
42,55,2026-03-02,card,completed,2026-03,Monday
43,40,2026-02-21,kakao_pay,completed,2026-02,Saturday
44,128,2026-08-01,bank_transfer,refunded,2026-08,Saturday
45,126,2025-11-14,bank_transfer,completed,2025-11,Friday
46,47,2025-10-09,naver_pay,completed,2025-10,Thursday
47,140,2026-06-04,bank_transfer,completed,2026-06,Thursday
48,127,2026-04-05,naver_pay,completed,2026-04,Sunday
49,54,2026-06-02,kakao_pay,refunded,2026-06,Tuesday
50,104,2026-08-14,card,completed,2026-08,Friday
51,12,2025-10-27,naver_pay,completed,2025-10,Monday
52,120,2026-06-22,kakao_pay,completed,2026-06,Monday
53,41,2026-03-13,bank_transfer,cancelled,2026-03,Friday
54,115,2026-08-21,kakao_pay,completed,2026-08,Friday
55,82,2025-12-29,kakao_pay,completed,2025-12,Monday
56,78,2025-09-07,card,refunded,2025-09,Sunday
57,142,2025-07-01,kakao_pay,refunded,2025-07,Tuesday
58,126,2025-07-02,kakao_pay,cancelled,2025-07,Wednesday
59,38,2026-03-25,naver_pay,completed,2026-03,Wednesday
60,114,2025-10-05,kakao_pay,completed,2025-10,Sunday
61,23,2026-05-27,bank_transfer,completed,2026-05,Wednesday
62,105,2026-04-16,card,completed,2026-04,Thursday
