order_item_id,order_id,customer_id,product_id,order_date,order_month,order_dayofweek,payment_method,order_status,gender,age,city,signup_date,product_name,category,price,quantity,unit_price,line_total,order_match,product_match,customer_match,merge_valid
1,1,144.0,39,2026-07-12,2026-07,Sunday,naver_pay,completed,F,90.0,인천,2024-03-13,뷰티 상품 039,뷰티,172000.0,2.0,172000.0,344000.0,True,True,True,True
2,2,149.0,26,2025-10-02,2025-10,Thursday,kakao_pay,completed,M,32.0,서울,2025-03-23,뷰티 상품 026,뷰티,79000.0,4.0,79000.0,316000.0,True,True,True,True
3,2,149.0,46,2025-10-02,2025-10,Thursday,kakao_pay,completed,M,32.0,서울,2025-03-23,생활용품 상품 046,생활용품,87000.0,3.0,87000.0,261000.0,True,True,True,True
4,2,149.0,80,2025-10-02,2025-10,Thursday,kakao_pay,completed,M,32.0,서울,2025-03-23,패션 상품 080,패션,187000.0,1.0,187000.0,187000.0,True,True,True,True
5,2,149.0,91,2025-10-02,2025-10,Thursday,kakao_pay,completed,M,32.0,서울,2025-03-23,전자기기 상품 091,전자기기,125000.0,5.0,125000.0,625000.0,True,True,True,True
6,3,34.0,61,2026-03-13,2026-03,Friday,naver_pay,completed,M,54.0,광주,2026-06-09,패션 상품 061,패션,28000.0,3.0,28000.0,84000.0,True,True,True,True
7,3,34.0,62,2026-03-13,2026-03,Friday,naver_pay,completed,M,54.0,광주,2026-06-09,전자기기 상품 062,전자기기,82000.0,3.0,82000.0,246000.0,True,True,True,True
8,3,34.0,52,2026-03-13,2026-03,Friday,naver_pay,completed,M,54.0,광주,2026-06-09,생활용품 상품 052,생활용품,88000.0,1.0,88000.0,88000.0,True,True,True,True
9,4,92.0,11,2025-10-12,2025-10,Sunday,kakao_pay,completed,F,25.0,광주,2025-01-04,뷰티 상품 011,뷰티,58000.0,2.0,58000.0,116000.0,True,True,True,True
10,5,6.0,65,2026-04-17,2026-04,Friday,bank_transfer,cancelled,M,27.0,대구,2023-07-21,식품 상품 065,식품,193000.0,5.0,193000.0,965000.0,True,True,True,True
11,6,20.0,97,2025-07-06,2025-07,Sunday,bank_transfer,completed,F,30.0,성남,2025-12-30,패션 상품 097,패션,187000.0,5.0,187000.0,935000.0,True,True,True,True
12,6,20.0,41,2025-07-06,2025-07,Sunday,bank_transfer,completed,F,30.0,성남,2025-12-30,식품 상품 041,식품,119000.0,3.0,119000.0,357000.0,True,True,True,True
13,6,20.0,43,2025-07-06,2025-07,Sunday,bank_transfer,completed,F,30.0,성남,2025-12-30,식품 상품 043,식품,158000.0,5.0,158000.0,790000.0,True,True,True,True
14,7,28.0,46,2025-08-08,2025-08,Friday,kakao_pay,completed,F,37.0,인천,2026-05-31,생활용품 상품 046,생활용품,87000.0,3.0,87000.0,261000.0,True,True,True,True
15,7,28.0,4,2025-08-08,2025-08,Friday,kakao_pay,completed,F,37.0,인천,2026-05-31,패션 상품 004,패션,33000.0,4.0,33000.0,132000.0,True,True,True,True
16,8,99.0,89,2026-02-04,2026-02,Wednesday,naver_pay,cancelled,F,51.0,인천,2024-06-22,전자기기 상품 089,전자기기,178000.0,5.0,178000.0,890000.0,True,True,True,True
18,8,99.0,65,2026-02-04,2026-02,Wednesday,naver_pay,cancelled,F,51.0,인천,2024-06-22,식품 상품 065,식품,193000.0,4.0,193000.0,772000.0,True,True,True,True
19,8,99.0,79,2026-02-04,2026-02,Wednesday,naver_pay,cancelled,F,51.0,인천,2024-06-22,스포츠 상품 079,스포츠,153000.0,1.0,153000.0,153000.0,True,True,True,True
20,9,93.0,70,2026-05-12,2026-05,Tuesday,naver_pay,completed,M,18.0,울산,2025-01-26,도서 상품 070,패션,168000.0,3.0,168000.0,504000.0,True,True,True,True
21,9,93.0,36,2026-05-12,2026-05,Tuesday,naver_pay,completed,M,18.0,울산,2025-01-26,뷰티 상품 036,뷰티,193000.0,5.0,193000.0,965000.0,True,True,True,True
22,9,93.0,73,2026-05-12,2026-05,Tuesday,naver_pay,completed,M,18.0,울산,2025-01-26,,,,1.0,156000.0,156000.0,True,False,True,False
23,9,93.0,42,2026-05-12,2026-05,Tuesday,naver_pay,completed,M,18.0,울산,2025-01-26,뷰티 상품 042,뷰티,71000.0,5.0,71000.0,355000.0,True,True,True,True
24,10,56.0,76,2026-01-22,2026-01,Thursday,naver_pay,completed,F,67.0,서울,2025-02-19,스포츠 상품 076,스포츠,56000.0,3.0,56000.0,168000.0,True,True,True,True
