순위,판매상품ID,상품명,판매가,저자,출판사,발행일,분야
1,S000000610612,소년이 온다,13500,한강,창비,2014-05-19,소설
2,S000001632467,모순,11700,양귀자,쓰다,2013-04-01,소설
3,S000216262757,결국 국민이 합니다,19800,이재명,오마이북,2025-04-15,정치/사회
4,S000216111714,혼모노,16200,성해나,창비,2025-03-28,소설
5,S000200550189,급류,12600,정대건,민음사,2022-12-22,소설
6,S000213310247,초역 부처의 말,16020,코이케 류노스케,포레스트북스,2024-05-30,인문
7,S000216354970,청춘의 독서(특별증보판),17010,유시민,웅진지식하우스,2025-04-22,인문
8,S000214453032,어른의 행복은 조용하다,16020,태수,페이지2북스,2024-11-04,시/에세이
9,S000000610650,채식주의자,15300,한강,창비,2022-03-28,소설
10,S000216122857,단 한 번의 삶(강물에디션 활판인쇄 한정판),15120,김영하,복복서가,2025-04-06,시/에세이
11,S000000781116,작별하지 않는다,15120,한강,문학동네,2021-09-09,소설
12,S000000478177,스토너,15120,존 윌리엄스,알에이치코리아,2015-01-02,소설
13,S000001020219,해커스 토익 기출 VOCA(보카),11610,David Cho,해커스어학연구소,2026-01-05,외국어
14,S000217115740,다크 심리학(20만 부 한정판 스페셜 에디션),19710,다크 사이드 프로젝트,어센딩,2026-05-22,인문
15,S000217467412,트렌드 코리아 2026,18000,김난도 외,미래의창,2025-09-24,경제/경영
16,S000215877577,위버멘쉬,16020,프리드리히 니체,떠오름(RISE),2025-03-14,인문
17,S000217048850,가공범,19800,히가시노 게이고,북다,2025-07-21,소설
18,S000215838626,듀얼 브레인,18900,이선 몰릭,상상스퀘어,2025-03-19,자기계발
19,S000214737838,행동하지 않으면 인생은 바뀌지 않는다,15210,브라이언 트레이시,현대지성,2024-11-19,자기계발
20,S000217503188,절창(화이트 에디션),16200,구병모,문학동네,2025-09-17,소설
21,S000212414274,쇼펜하우어 인생수업(30만 부 기념 개정증보판),15750,쇼펜하우어,하이스트,2024-02-20,인문
22,S000216261573,흔한남매 19,15120,흔한남매,미래엔아이세움,2025-04-18,어린이(초등)
23,S000213913377,행복할 거야 이래도 되나 싶을 정도로(10만 부 기념 교보문고 단독 리커버),16200,일홍,부크럼,2024-07-29,시/에세이
24,S000216796615,안녕이라 그랬어,15120,김애란,문학동네,2025-06-20,소설
25,S000217393638,호의에 대하여,16920,문형배,김영사,2025-08-28,시/에세이
26,S000000781065,홍학의 자리,12600,정해연,엘릭시르,2021-07-26,소설
27,S000216361656,빛과 실,13500,한강,문학과지성사,2025-04-18,시/에세이
28,S000216900602,박곰희 연금 부자 수업,18900,박곰희,인플루엔셜,2025-06-25,경제/경영
29,S000001632473,나는 소망한다 내게 금지된 것을,13500,양귀자,쓰다,2019-04-20,소설
30,S000001947552,돈의 심리학(30만 부 기념 스페셜 에디션),17820,모건 하우절,인플루엔셜,2023-11-06,경제/경영
31,S000216344843,"첫 여름, 완주",15300,김금희,무제(MUZE),2025-05-08,소설
32,S000214465905,넥서스,25020,유발 하라리,김영사,2024-10-11,인문
33,S000000620195,싯다르타,7200,헤르만 헤세,민음사,2002-01-20,소설
34,S000217089705,자몽살구클럽,10800,한로로,어센틱,2025-07-25,소설
35,S000215103474,내가 원하는 것을 나도 모를 때,19800,전승환,북로망스,2025-01-15,인문
36,S000214769735,마음의 기술,18900,안-엘렌 클레르 외,상상스퀘어,2024-11-18,인문
37,S000215819502,국민이 먼저입니다,19800,한동훈,메디치미디어,2025-02-28,정치/사회
38,S000214793420,더 나은 어휘를 쓰고 싶은 당신을 위한 필사책,19800,이주윤,빅피시,2024-11-20,인문
39,S000216903860,류수영의 평생 레시피,22500,류수영,세미콜론,2025-06-25,요리
40,S000201621499,구의 증명(리커버판),10800,최진영,은행나무,2023-04-26,소설
41,S000001897788,데일 카네기 인간관계론(50만부 돌파 초판 무삭제 완역본),10350,데일 카네기,현대지성,2019-10-07,자기계발
42,S000217249954,렛뎀 이론,18000,멜 로빈스,비즈니스북스,2025-08-30,자기계발
43,S000216249272,행동은 불안을 이긴다,18000,롭 다이얼,서삼독,2025-04-16,자기계발
44,S000001808685,파과,16020,구병모,위즈덤하우스,2018-04-16,소설
45,S000214377461,퓨처 셀프 30만 부 기념 스페셜 에디션,19800,벤저민 하디,상상스퀘어,2024-09-25,자기계발
46,S000216851144,고전이 답했다 마땅히 가져야 할 부에 대하여,16020,고명환,라곰,2025-07-02,자기계발
47,S000216514478,경험의 멸종,17820,크리스틴 로젠,어크로스,2025-05-20,인문
48,S000000620181,데미안,7200,헤르만 헤세,민음사,2009-01-20,소설
49,S000208779631,마흔에 읽는 쇼펜하우어,15300,강용수,유노북스,2025-12-04,인문
50,S000216176410,제16회 젊은작가상 수상작품집(2025),13500,백온유 외,문학동네,2025-04-02,소설
51,S000200746091,세이노의 가르침,6480,세이노(SayNo),데이원,2023-03-02,자기계발
52,S000001020289,해커스 일본어 첫걸음: 기초20일 독학 완성!,12510,해커스 일본어연구소,해커스어학연구소,2024-05-07,외국어
53,S000211513068,이처럼 사소한 것들,12420,클레어 키건,다산책방,2023-11-27,소설
54,S000211975066,시한부,15120,백은별,바른북스,2024-01-23,청소년
55,S000000569962,서랍에 저녁을 넣어 두었다,10800,한강,문학과지성사,2013-11-15,시/에세이
56,S000216110908,흰,13050,한강,문학동네,2025-03-31,소설
57,S000217241544,다정한 사람이 이긴다,17100,이해인,필름(Feelm),2025-08-13,시/에세이
